distance (mm)	raw1	raw2
800	210	194
790	215	198
780	222	211
770	218	213
760	208	218
750	212	228
740	219	238
730	228	243
720	242	252
710	240	260
700	241	263
690	249	268
680	257	282
670	262	287
660	269	292
650	277	310
640	285	312
630	288	314
620	302	328
610	314	337
600	315	339
590	326	353
580	336	358
570	338	361
560	356	379
550	360	383
540	372	397
530	382	402
520	398	410
510	405	425
500	428	428
490	431	446
480	449	449
470	453	470
460	472	475
450	484	495
440	497	508
430	516	519
420	544	545
410	560	560
400	566	566
390	587	588
380	609	610
370	624	628
360	643	642
350	680	664
340	702	685
330	718	718
320	740	727
310	770	763
300	796	787
290	841	816
280	861	840
270	900	880
260	932	906
250	975	950
240	1021	996
230	1074	1051
220	1120	1097
210	1186	1160
200	1250	1219
190	1307	1274
180	1387	1339
170	1452	1410
160	1533	1490
150	1628	1585
140	1763	1689
130	1895	1838
120	2055	1970
110	2230	2140
100	2450	2321
90	2620	2569
80	2622	2619
50	2620	2620
60	2620	2620
70	2622	2620